Site,Program,Year, Program Length (Weeks) , Tuition , Housing & Meals , Local Transportation , Insurance , Visa Fees , Total Program Fee , Price , check , Additional Fee for Non-Consortia/ Non-UO Students , UO Study Abroad Fee ,
Accra,Fall Semester,2015, 15.00 ," 8,774 "," 1,664 ", -   , 237 , -   ," 10,675 "," 10,675 ", -   , 400 , 500 ,
Accra,Media In Ghana,2015, 6.14 ," 2,916 ", 660 , -   , 124 , -   ," 3,700 ",," 3,700 ", 250 , -   ,
Accra,Spring Semester,2016, 15.00 ," 8,774 "," 1,664 ", -   , 237 , -   ," 10,675 "," 10,675 ", -   , 400 , 500 ,
Angers,Fall International Business and Marketing,2015, 17.00 ," 14,174 ", -   , 184 , 267 , -   ," 14,625 "," 14,625 ", -   , 400 , 500 ,
Angers,Fall Quarter,2015, 11.86 ," 8,694 "," 4,827 ", 113 , 191 , -   ," 13,825 "," 13,825 ", -   , 400 , 500 ,
Angers,Fall Semester,2015, 17.86 ," 9,287 "," 6,929 ", 150 , 279 , -   ," 16,645 "," 16,645 ", -   , 400 , 500 ,
Angers,Spring International Business and Marketing,2016, 20.43 ," 14,684 ", -   , 224 , 317 , -   ," 15,225 "," 15,225 ", -   , 400 , 500 ,
Angers,Spring Semester,2016, 17.86 ," 9,287 "," 6,929 ", 150 , 279 , -   ," 16,645 "," 16,645 ", -   , 400 , 500 ,
Angers,Summer I,2015, 4.00 ," 3,568 "," 1,845 ", 36 , 76 , -   ," 5,525 "," 5,525 ", -   , 400 , 500 ,
Angers,Summer II,2015, 4.00 ," 3,568 "," 1,845 ", 36 , 76 , -   ," 5,525 "," 5,525 ", -   , 400 , 500 ,
Angers,Summer III,2015, 4.00 ," 3,566 "," 1,845 ", 38 , 76 , -   ," 5,525 "," 5,525 ", -   , 400 , 500 ,
Anglia,UEA Summer School,2015,, -   , -   , -   , 55 , -   , 55 , 55 , -   , N/A , 500 ,
Antigua,Human Rights In Guatamala,2015,," 2,540 ", 450 , 40 , 70 , -   ," 3,100 "," 3,100 ", -   , 250 , -   ,
Argentina,CIEE Liberal Arts in Argentina Fall,2015,," 11,437 "," 4,900 ", -   , 113 , -   ," 16,450 "," 16,450 ", -   , N/A , 500 ,
Athens,Fall Semester,2015, 12.57 ," 11,171 "," 1,602 ", -   , 202 , -   ," 12,975 "," 12,975 ", -   , 400 , 500 ,
Athens,Revolutions of the Mind,2015, 6.29 ,,,,,, TBD ,,#VALUE!, 400 , 400 ,
Athens,Spring Semester,2016, 11.71 ," 11,134 "," 1,602 ", -   , 189 , -   ," 12,925 "," 12,925 ", -   , 400 , 500 ,
Athens,Summer Art & Poetry,2015, 2.14 ," 2,427 ", 450 , -   , 48 , -   ," 2,925 "," 2,925 ", -   , 400 , 500 ,
Athens,Summer Language,2015, 2.71 ," 2,418 ", 450 , -   , 57 , -   ," 2,925 "," 2,925 ", -   , 400 , 500 ,
Barcelona,Urban Designs in Barcelona,2015,,,,,,, TBD ,,#VALUE!, 250 , -   ,
Beijing,CIEE Intensive Chinese Language,2015,," 5,374 "," 1,150 ", -   , 113 , 213 ," 6,850 "," 6,850 ", -   , N/A , 500 ,
Belgium,Ciee Business in Belgium,2015,," 14,632 "," 3,505 ", -   , 113 , -   ," 18,250 "," 18,250 ", -   , N/A , 500 ,
Berlin,J-Term,2015, 3.14 ," 2,324 ", 819 , -   , 82 , -   ," 3,225 "," 3,225 ", -   , 400 , 500 ,
Berlin,Summer I LC,2015, 6.14 ," 5,683 "," 1,305 ", -   , 137 , -   ," 7,125 "," 7,125 ", -   , 400 , 500 ,
Berlin,Summer I LI,2015, 6.14 ," 4,683 "," 1,305 ", -   , 137 , -   ," 6,125 "," 6,125 ", -   , 400 , 500 ,
Berlin,Summer II LC,2015, 4.14 ," 3,880 ", 945 , -   , 100 , -   ," 4,925 "," 4,925 ", -   , 400 , 500 ,
Berlin,Summer II LI,2015, 4.14 ," 3,230 ", 945 , -   , 100 , -   ," 4,275 "," 4,275 ", -   , 400 , 500 ,
Bocas del Toro,Marine Biology in Panama,2015,," 2,297 ", 570 , -   , 58 , -   ," 2,925 "," 2,925 ", (0), N/A , -   ,
Bonaire,CIEE Tropical Marine Ecology & Conservation (one session),2015,," 2,687 "," 1,050 ", -   , 113 , -   ," 3,850 "," 3,850 ", -   , N/A , 500 ,
Bonaire,CIEE Tropical Marine Ecology & Conservation (two sessions),2015,," 4,717 "," 2,100 ", -   , 113 , -   ," 6,930 "," 6,930 ", -   , N/A , 500 ,
Cambridge,Summer School per session (High),2015,," 2,700 ", -   , -   , 55 , -   ," 2,755 "," 2,755 ", -   , N/A , 500 ,
